Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2009,,,,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,,,,
,,Jan. 2009,Feb. 2009,Mar. 2009,Apr. 2009,May 2009,Jun. 2009,Jul. 2009,Aug. 2009,Sep. 2009,Oct. 2009,Nov. 2009,Dec. 2009,TOTAL,,,,,
454,Nonstore retailers,"25,963","23,875","25,374","23,742","23,107","24,260","24,072","23,994","24,801","26,169","28,365","37,508","311,230",,,,,
4541,Electronic shopping and mail-order houses,"18,166","16,765","18,441","17,876","17,753","18,617","18,546","18,673","19,138","19,711","21,970","29,696","235,352",,,,,
45431,Fuel dealers,"4,678","3,794","3,291","2,299","1,877","1,948","1,825","1,846","2,061","2,690","3,016","4,301","33,626",,,,,
722,Food services and drinking places,"36,208","34,969","38,484","37,839","40,280","38,385","39,256","38,922","36,609","38,285","35,546","37,587","452,370",,,,,
7221,Full service restaurants,"16,174","15,379","16,800","16,086","17,306","16,258","16,716","16,647","15,231","16,111","14,972","16,305","193,985",,,,,
7222, Limited service eating places,"15,327","14,945","16,508","16,344","17,361","16,782","17,240","17,060","15,595","16,267","15,438","16,155","195,022",,,,,
7224,Drinking places (alcoholic beverages),"1,594","1,524","1,766","1,667","1,752","1,730","1,784","1,681","1,607","1,694","1,561","1,630","19,990",,,,,
,ADJUSTED(3),,,,,,,,,,,,,,,,,,
," Retail and food services sales, total","336,759","335,860","330,402","331,182","334,811","339,377","340,647","347,223","338,708","341,460","344,965","346,239",,,,,,
, Retail sales and food services excl motor vehicle and parts ,"281,008","281,727","277,284","277,857","280,361","283,159","282,580","284,606","285,052","285,151","287,574","289,495",,,,,,
,"Retail sales, total","298,565","297,933","292,857","293,419","297,060","301,671","302,901","309,581","301,199","303,962","307,190","308,501",,,,,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","242,814","243,800","239,739","240,094","242,610","245,453","244,834","246,964","247,543","247,653","249,799","251,757",,,,,,
,GAFO(1),"92,327","92,204","89,957","90,298","90,630","90,134","90,049","90,672","90,710","91,113","90,611","91,235",,,,,,
441,Motor vehicle and parts dealers,"55,751","54,133","53,118","53,325","54,450","56,218","58,067","62,617","53,656","56,309","57,391","56,744",,,,,,
"4411,4412",Automobile and other motor vehicle dealers,"49,321","47,756","46,865","47,058","48,168","50,003","51,909","56,487","47,595","50,192","51,343","50,660",,,,,,
4413,"Automotive parts, acc., and tire stores","6,430","6,377","6,253","6,267","6,282","6,215","6,158","6,130","6,061","6,117","6,048","6,084",,,,,,
"442,443","Furniture, home furn, electronics, and appliance stores","15,995","15,876","14,990","14,911","14,874","14,966","14,774","14,746","14,791","14,672","15,110","14,971",,,,,,
442,Furniture and home furnishings stores,"7,379","7,300","7,064","7,076","7,097","7,103","7,052","6,995","6,988","6,934","7,009","7,040",,,,,,
443,Electronics and appliance stores,"8,616","8,576","7,926","7,835","7,777","7,863","7,722","7,751","7,803","7,738","8,101","7,931",,,,,,
44312, Computer and software stores,"1,642","1,650","1,600","1,615","1,604","1,740","1,664","1,612","1,639","1,566","1,726","1,680",,,,,,
444,Building mat. and garden equip. and supplies dealers,"22,715","22,520","22,156","22,102","22,351","22,267","21,949","21,459","21,372","20,674","21,015","20,909",,,,,,
4441,Building mat. and supplies dealers,"19,617","19,547","19,179","19,129","19,384","19,165","18,977","18,854","18,924","18,307","18,408","18,267",,,,,,
445,Food and beverage stores,"47,505","46,975","47,104","47,012","47,385","47,414","47,252","47,447","47,631","47,573","47,845","48,239",,,,,,
4451,Grocery stores,"42,625","42,125","42,223","42,143","42,449","42,556","42,385","42,513","42,719","42,708","42,923","43,265",,,,,,
4453,"Beer, wine and liquor stores","3,384","3,324","3,345","3,338","3,378","3,325","3,342","3,402","3,396","3,393","3,382","3,446",,,,,,
446,Health and personal care stores,"20,745","20,939","21,002","21,114","21,096","21,137","21,066","21,028","21,319","21,322","21,359","21,268",,,,,,
44611,Pharmacies and drug stores,"17,672","17,944","18,033","18,117","18,148","18,091","18,122","18,058","18,322","18,329","18,318","18,196",,,,,,
447,Gasoline stations,"28,767","29,943","28,808","28,759","30,531","33,330","33,024","34,777","34,896","34,949","36,607","37,182",,,,,,
448,Clothing and clothing access. stores,"17,125","17,393","16,555","16,835","17,026","16,793","16,978","17,247","17,149","17,247","17,091","17,067",,,,,,
4481,Clothing stores,"12,782","12,945","12,259","12,440","12,638","12,373","12,579","12,756","12,662","12,838","12,628","12,553",,,,,,
44811, Men's clothing stores(4),652,648,625,656,640,629,663,629,632,606,609,598,,,,,,
44812,Women's clothing stores,"3,005","3,033","3,004","3,083","3,098","3,060","3,048","3,175","3,128","3,130","3,097","3,033",,,,,,
4482,Shoe stores,"2,119","2,158","2,111","2,102","2,117","2,110","2,136","2,185","2,171","2,153","2,140","2,195",,,,,,
44831,Jewelry stores,"2,082","2,147","2,047","2,157","2,119","2,141","2,111","2,152","2,166","2,113","2,179","2,177",,,,,,
451,"Sporting goods, hobby, book, and music stores","6,930","6,763","6,597","6,762","6,653","6,664","6,660","6,807","6,675","6,585","6,470","6,696",,,,,,
452,General merchandise stores,"49,247","49,227","48,944","48,870","49,131","48,832","48,767","49,024","49,243","49,744","49,151","49,720",,,,,,
4521,Department stores (excl. L.D.),"15,800","15,680","15,626","15,642","15,742","15,464","15,473","15,592","15,501","15,635","15,496","15,463",,,,,,
4529,Other general merchandise stores,"33,447","33,547","33,318","33,228","33,389","33,368","33,294","33,432","33,742","34,109","33,655","34,257",,,,,,
45291,Warehouse clubs and supercenters,"29,615","29,640","29,437","29,314","29,406","29,424","29,346","29,420","29,663","30,000","29,548","30,133",,,,,,
45299,All other gen. merchandise stores,"3,832","3,907","3,881","3,914","3,983","3,944","3,948","4,012","4,079","4,109","4,107","4,124",,,,,,
453,Miscellaneous stores retailers,"8,501","8,737","8,649","8,677","8,451","8,434","8,368","8,334","8,358","8,370","8,453","8,569",,,,,,
454,Nonstore retailers,"25,284","25,427","24,934","25,052","25,112","25,616","25,996","26,095","26,109","26,517","26,698","27,136",,,,,,
4541,Electronic shopping and mail order houses,"18,884","18,965","18,646","18,896","19,028","19,292","19,688","19,865","19,935","20,072","20,361","20,694",,,,,,
45431,Fuel dealers,"2,931","2,802","2,752","2,652","2,575","2,771","2,680","2,727","2,680","2,880","2,886","3,003",,,,,,
722,Food services and drinking places,"38,194","37,927","37,545","37,763","37,751","37,706","37,746","37,642","37,509","37,498","37,775","37,738",,,,,,
,,,,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,,,,
(2) Includes data for leased departments operated within department stores.  Data for this line not included in any aggregate kind-of-business totals.,,,,,,,,,,,,,,,,,,,
"(3) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,,,,
"(4) With the recent Annual Revision of Monthly Retail and Food Services published on April 30, 2014, we are reinstating the previously suppressed seasonally adjusted estimates of sales ",,,,,,,,,,,,,,,,,,,
for NAICS 44811 (Men_s Clothing) from January 2001 forward. ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown. ,,,,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown. ,,,,,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
