Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2008,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2008,Feb. 2008,Mar. 2008,Apr. 2008,May 2008,Jun. 2008,Jul. 2008,Aug. 2008,Sep. 2008,Oct. 2008,Nov. 2008,Dec. 2008,TOTAL,
45111, Sporting goods stores,"2,314","2,413","2,993","2,982","3,273","3,405","3,305","3,539","2,722","2,479","2,794","4,525","36,744",
45112," Hobby, toy, and game stores","1,043","1,077","1,183","1,080","1,131","1,044","1,097","1,065","1,061","1,218","1,959","3,117","16,075",
451211,Book stores,"2,302","1,156","1,026","1,004","1,156","1,073","1,120","2,423","1,469","1,021","1,033","2,006","16,789",
452,General merchandise stores,"42,190","44,269","48,007","45,622","51,477","49,328","48,343","50,333","44,113","47,616","54,592","69,312","595,202",
4521,Department stores (excl.L.D),"13,219","14,296","15,771","14,954","16,647","15,890","15,150","16,435","13,877","15,402","19,436","27,275","198,352",
452112,Discount dept. stores,"8,656","9,140","10,152","9,459","10,642","10,412","9,971","10,754","8,975","10,008","12,196","16,705","127,070",
452111,Department stores(excl. discount department stores),"4,563","5,156","5,619","5,495","6,005","5,478","5,179","5,681","4,902","5,394","7,240","10,570","71,282",
4521,Department stores (incl. L.D.)(2),"13,512","14,604","16,113","15,276","17,001","16,213","15,462","16,779","14,163","15,733","19,858","27,810","202,524",
452112,Discount dept. stores,"8,814","9,306","10,338","9,633","10,829","10,585","10,139","10,944","9,132","10,197","12,416","16,972","129,305",
452111,Department stores(excl. discount department stores),"4,698","5,298","5,775","5,643","6,172","5,628","5,323","5,835","5,031","5,536","7,442","10,838","73,219",
4529,Other general merchandise stores,"28,971","29,973","32,236","30,668","34,830","33,438","33,193","33,898","30,236","32,214","35,156","42,037","396,850",
45291,Warehouse clubs and supercenters,"25,763","26,608","28,605","27,094","30,817","29,664","29,445","30,243","26,793","28,432","31,060","36,719","351,243",
45299,All other gen. merchandise stores,"3,208","3,365","3,631","3,574","4,013","3,774","3,748","3,655","3,443","3,782","4,096","5,318","45,607",
453,Miscellaneous store retailers,"9,093","8,732","8,780","8,794","10,039","9,503","9,695","9,312","9,038","9,241","8,309","10,153","110,689",
4532,"Office supplies, stationery, and gift stores","3,213","3,091","2,976","2,851","3,138","2,905","3,122","3,536","3,071","3,134","2,885","4,152","38,074",
45321,Office supplies and stationery stores,"2,115","1,854","1,742","1,686","1,641","1,496","1,726","2,182","1,840","1,581","1,505","1,910","21,278",
45322,"Gift, novelty, and souvenir stores","1,098","1,237","1,234","1,165","1,497","1,409","1,396","1,354","1,231","1,553","1,380","2,242","16,796",
4533,Used merchandise stores,867,894,939,943,990,937,911,949,965,964,951,950,"11,260",
454,Nonstore retailers,"27,743","25,961","26,293","26,048","25,681","24,856","25,440","24,869","25,608","26,705","25,895","34,124","319,223",
4541,Electronic shopping and mail-order houses,"18,648","17,396","17,979","18,670","18,615","18,121","18,582","18,119","18,537","19,056","18,988","26,442","229,153",
45431,Fuel dealers,"5,451","4,942","4,455","3,456","3,025","2,761","2,837","2,703","3,059","3,568","3,352","4,033","43,642",
722,Food services and drinking places,"35,066","35,726","38,499","37,928","40,692","38,731","39,589","40,438","37,255","38,446","36,328","37,744","456,442",
7221,Full service restaurants,"15,508","15,864","17,106","16,293","17,711","16,710","16,964","17,428","15,363","15,981","15,540","16,653","197,121",
7222, Limited service eating places,"14,829","14,994","16,175","16,014","17,132","16,585","17,131","17,331","15,671","16,579","15,594","16,028","194,063",
7224,Drinking places (alcoholic beverages),"1,497","1,528","1,710","1,656","1,743","1,696","1,886","1,841","1,676","1,712","1,620","1,677","20,242",
,ADJUSTED(3),,,,,,,,,,,,,,
," Retail and food services sales, total","375,101","371,684","372,156","373,803","375,484","376,991","375,095","372,738","366,147","352,969","340,405","332,007",,
, Retail sales and food services excl motor vehicle and parts ,"301,461","299,609","300,662","303,380","306,519","309,689","310,612","307,187","303,996","296,461","285,036","278,133",,
,"Retail sales, total","337,274","334,469","334,559","336,101","337,383","338,832","336,771","334,481","327,779","314,828","302,285","293,959",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","263,634","262,394","263,065","265,678","268,418","271,530","272,288","268,930","265,628","258,320","246,916","240,085",,
,GAFO(1),"95,771","94,951","95,262","95,968","97,202","97,483","97,043","95,982","93,298","92,360","92,576","90,962",,
441,Motor vehicle and parts dealers,"73,640","72,075","71,494","70,423","68,965","67,302","64,483","65,551","62,151","56,508","55,369","53,874",,
"4411,4412",Automobile and other motor vehicle dealers,"67,425","65,834","65,242","64,150","62,585","60,861","58,034","59,238","55,799","50,139","48,916","47,460",,
4413,"Automotive parts, acc., and tire stores","6,215","6,241","6,252","6,273","6,380","6,441","6,449","6,313","6,352","6,369","6,453","6,414",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,803","17,500","17,540","17,617","17,777","17,531","17,394","17,013","16,421","16,231","16,167","15,653",,
442,Furniture and home furnishings stores,"8,877","8,615","8,635","8,599","8,594","8,488","8,367","8,161","7,738","7,752","7,641","7,459",,
443,Electronics and appliance stores,"8,926","8,885","8,905","9,018","9,183","9,043","9,027","8,852","8,683","8,479","8,526","8,194",,
44312, Computer and software stores,"1,697","1,729","1,745","1,722","1,729","1,753","1,737","1,713","1,686","1,722","1,673","1,684",,
444,Building mat. and garden equip. and supplies dealers,"25,702","25,620","25,113","25,542","25,634","25,800","25,990","25,356","25,098","24,698","23,370","22,778",,
4441,Building mat. and supplies dealers,"22,616","22,420","21,931","22,550","22,400","22,489","22,500","22,050","21,743","21,500","20,235","19,696",,
445,Food and beverage stores,"46,834","46,761","46,898","47,428","47,247","47,691","47,795","47,973","47,873","47,691","47,446","47,064",,
4451,Grocery stores,"42,119","42,065","42,174","42,638","42,437","42,782","42,831","43,036","42,941","42,744","42,559","42,238",,
4453,"Beer, wine and liquor stores","3,200","3,200","3,225","3,242","3,264","3,327","3,360","3,345","3,337","3,362","3,358","3,317",,
446,Health and personal care stores,"20,125","20,287","20,241","20,267","20,511","20,557","20,681","20,666","20,636","20,683","20,752","20,732",,
44611,Pharmacies and drug stores,"17,209","17,393","17,289","17,230","17,521","17,512","17,590","17,697","17,654","17,683","17,739","17,722",,
447,Gasoline stations,"42,378","42,505","43,093","42,938","44,311","46,513","46,865","45,783","45,744","40,637","31,922","27,923",,
448,Clothing and clothing access. stores,"18,542","18,271","18,308","18,456","18,590","18,719","18,634","18,550","17,560","17,265","17,178","16,836",,
4481,Clothing stores,"13,499","13,365","13,252","13,443","13,514","13,599","13,500","13,439","12,856","12,581","12,687","12,531",,
44811, Men's clothing stores(4),754,731,731,737,736,743,702,713,697,668,660,647,,
44812,Women's clothing stores,"3,286","3,310","3,293","3,349","3,323","3,311","3,337","3,331","3,257","3,106","3,080","2,970",,
4482,Shoe stores,"2,253","2,210","2,224","2,315","2,348","2,342","2,329","2,331","2,164","2,172","2,171","2,126",,
44831,Jewelry stores,"2,623","2,534","2,664","2,530","2,563","2,614","2,640","2,611","2,392","2,355","2,167","2,037",,
451,"Sporting goods, hobby, book, and music stores","7,135","7,016","7,009","7,076","7,231","7,175","7,145","7,163","6,738","6,667","6,688","6,632",,
452,General merchandise stores,"48,874","48,908","49,109","49,534","50,341","50,804","50,585","50,097","49,511","49,236","49,595","48,871",,
4521,Department stores (excl. L.D.),"16,760","16,846","16,723","16,797","16,898","17,102","16,789","16,578","16,162","16,021","16,386","15,813",,
4529,Other general merchandise stores,"32,114","32,062","32,386","32,737","33,443","33,702","33,796","33,519","33,349","33,215","33,209","33,058",,
45291,Warehouse clubs and supercenters,"28,249","28,306","28,662","28,947","29,603","29,843","29,924","29,708","29,540","29,433","29,441","29,281",,
45299,All other gen. merchandise stores,"3,865","3,756","3,724","3,790","3,840","3,859","3,872","3,811","3,809","3,782","3,768","3,777",,
453,Miscellaneous stores retailers,"10,048","9,369","9,318","9,320","9,323","9,341","9,559","9,135","9,055","8,937","8,666","8,540",,
454,Nonstore retailers,"26,193","26,157","26,436","27,500","27,453","27,399","27,640","27,194","26,992","26,275","25,132","25,056",,
4541,Electronic shopping and mail order houses,"18,836","18,786","18,806","19,591","19,431","19,443","19,519","19,235","19,170","18,867","18,170","18,661",,
45431,Fuel dealers,"3,405","3,533","3,798","3,995","4,033","3,990","4,136","3,867","3,927","3,705","3,316","2,832",,
722,Food services and drinking places,"37,827","37,215","37,597","37,702","38,101","38,159","38,324","38,257","38,368","38,141","38,120","38,048",,
,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
(2) Includes data for leased departments operated within department stores.  Data for this line not included in any aggregate kind-of-business totals.,,,,,,,,,,,,,,,
"(3) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
"(4) With the recent Annual Revision of Monthly Retail and Food Services published on April 30, 2014, we are reinstating the previously suppressed seasonally adjusted estimates of sales ",,,,,,,,,,,,,,,
for NAICS 44811 (Men_s Clothing) from January 2001 forward. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown. ,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
