Kashmir separatists meet Indian MPs despite formal boycott,India elections: millions turn out in first big day of voting,German professor rebuked for rejecting intern over 'India's rape problem,India elections: what young people want from a new government,Indias 20-year economic boom gives way to doubt in Delhis malls
India's Iron Lady charged with trying to kill herself after 12-year hunger strike,Indian police reveal Kashmiri custody death toll,India sifts over site of suspicious crash,Dozens die in Delhi bombings,Indian government pledges security focus
India accuses Pakistan of trying to wipe out leadership,Diplomat raped in New Delhi,Randeep Ramesh reports from the battle to capture the terrorists in Mumbai,Anna Hazare ends hunger strike after Indian government backs down,Shadow of controversy follows Narendra Modi as he meets US leaders
"Eyewitness: Srinagar, India",Everyday India in pictures: the city,"India mass sterilisation: women were forced into camps, say relatives",Baby elephant rescued from ditch in India  video,China's first aircraft carrier launches with pride amid regional tensions
Iran to resume 'some nuclear activities,Iranian president calls for purge of liberal lecturers,Syrian president Bashar al-Assad expected to be sanctioned by EU,Libya: battle for Sirte reaches endgame - Friday 14 October 2011,Iran's nuclear deal-maker keeps Twitter and the ayatollah happy
Iran opens doors to tourists as Rouhani fosters thaw in relations with the west,Robert Tait on the continuing protests in Iran,Iranian president calls Holocaust a 'myth' in live TV broadcast,Irans currency up against dollar amid optimism over Baghdad nuclear talks,"A welcome, tempered by mistrust"
Europe proposes limited sanctions to halt Tehrans nuclear ambitions,Iran stories: show us around your home,Iran faces UN nuclear crisis,Shortcuts: Mahmoud Ahmadinejads blog,Iran forces lecturers to disclose all foreign trips
What is Britains strategy for Iraq?,British troops tried to rescue hostages at Iran border,Iranians 'protest over currency crisis'  video,Iran nuclear chief cancels IAEA summit,Leader: Nuclear diplomacy
Poor Iranians compete to sell their organs - in pictures,"Iran could be building a warhead, says UN inspector",Iran urged to end harassment of lawyer's family,Who is killing Iran's nuclear scientists,Timeline: Iranian air disasters
Iran president Ahmadinejad chooses wanted man Ahmad Vahidi for cabinet,Irans state TV shows aftermath of earthquake  video,UN watchdog rejects US ultimatum but pushes Tehran to reveal nuclear details,Iraq bomb attack kills key US ally ,Hardline critics scoop up votes as rivals are barred
Middle East: Bahrain calls for new regional organisation with Israel,UK fears return to the bad old days in Iran,Mahmoud Ahmadinejad summoned to criminal court ,Egypt would do well to heed lessons from Iran's 1979 revolution,Iran Standard Time: a day at the Kerman bazaar - in pictures
Letters: Dossier on Iran nuclear threat,Israels old certainties crumble in Arab spring fallout,Qassem Suleimani photo makeover reveals Irans new publicity strategy,US sanctions against Iran's military establishment opens a new front against Teheran,Straw: Iran nuclear negotiations still open
